;text;option_1;option_2;option_3;option_4;rating
q26723;If you really clicked with someone online and were meeting them in person, how would you greet them when you met them?;Say hi / shake their hand;Give them a friendly hug;Give them a kiss on the cheek;Start making out with them almost immediately;
q33561;Somehow, you're blessed (cursed) with the following ability: by looking at any person you instantaneously know either his/her complete past, or complete future.  Which would you rather see?;Past;Future;;;
q70467;Imagine that you have to move somewhere far away. You'll need to pack all of your stuff and take it with you. All your things could fit nicely inside...;a couple of suitcases.;a car.;a big moving truck.;the Black Sea.;
q84005;As an adult, have you ever worn a leash and collar in public?;Yes.;No.;;;
q37765;How often do you hang out at coffee shops / cafes?;Two or more times a week.;From once a month to once a week.;Less than once a month.;Never.;
q37320;How often do you interrupt people?;Never.;Rarely.;Often.;Always.;
q51354;Do you borrow books from public libraries?;Regularly.;Occasionally.;Never.;;
q16931;Have you ever skinny-dipped?;Yes;No;;;
q16584;Is it *really* ok for men to cry?;Yes;No;;;
q57101;Which of the following do you find to be the most liberating?;Travel.;Financial independence.;Art.;Sexuality.;
q304;Do you hit the snooze button more than once on a typical morning?;Yes;No;;;
q19446;Have you ever made a booty call (invited over or visited someone you were not actively in a relationship with, just for sexual activity)?;Yes, and I still do.;Yes, I have done it, but don't any more.;No, and I never will.;No, but I suppose I might.;
q1104;Are you a genius?;Yes;No;;;
q49461;Other than when going to bed for the night, how often do you fall asleep while watching TV?;Frequently.;Occasionally.;Never.;;
q20928;If you saw a man knitting in public what would you think?;He's gay.;He's hot.;He's just secure in his masculinity.;He's weird.;
q64307;When would you prefer to settle a disagreement?;Now.;Later.;Never.;;
q36519;Do you stop to enjoy simple things in nature?;Often.;Sometimes.;Rarely.;Never.;
q11551;I accept other people's quirks:;Enthusiastically;Readily;Grudgingly;Not at all;
q81807;If a partner asked you to have sex in a sex shop booth with others watching, would you?;Yes.;No.;Maybe.;;
q17002;Do you find British comedies entertaining?;They're all I watch.;I like them quite a bit!;Kind of, but I'd rather watch something else.;Not at all.;
q72735;Imagine you are on a first date and accidentally discover your date is packing condoms.  Which would be closest to your reaction?;I'd tease them about it.;I'd acknowledge it, but politely.;I'd pretend I didn't see it.;I'd end the date.;
q83910;Do wild places such as mountains, rivers and forests call out to you?;Yes.;No.;;;
q244;Do you listen to conservative talk radio?;Yes;No;;;
q602;Have you ever gone skydiving?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;
q23338;Your signifigant other has a hobby that you find boring.  They're busy doing whatever it is they like to do, and you're bored.  What do you do?;Go do something I like, alone;Sit and watch to figure out why they like it.;Sit and watch, resentful.;Bug them for attention.;
q28386;Someone you are interested in sometimes becomes very emotional over forms of art (movies, music, poetry.) How does this make you feel?;They are a sissy;It's cool / ok;I am the same way;;
q1287;Have you experienced mental illness?;Yes - severely;Yes - low grade;No;I'm not sure;
q1408;Would you wear your partner's underclothing if they wanted you to?;Yes;No;;;
q15878;Is anything in life more important than your own self-interest?;Yes;No;;;
q19290;Does violence ever solve anything?;Yes, everything;No, violence solves nothing;Most of the time;Almost never, but sometimes;
q35435;Would you ever be willing to skip out on responsibilities (such as work, school, or such) to stay at home and have sex with someone?;Yes.  Sex always comes first.;Yes.  Occasionally.;No.  Never.;;
q513;Have you ever dyed your hair a real crazy, unnatural color?;Yes;No;;;
q48450;Do you ever wear undergarments generally associated with the opposite sex?;Yes.;No.;;;
q39189;Would you date a recovering (non-drinking) alcoholic?;Yes.;No.;;;
q54813;How many siblings (brothers and sisters) do you have?;None.;One.;Two or three.;Four or more.;
q28757;Do you like to wear sexy underwear?;Yes;No;;;
q18918;Do you enjoy visiting art galleries?;Yes;No;Art is boring;;
q9446;Is your car important to you?;Yes;No;Not applicable;;
q196;Excluding childhood fights, have you ever punched someone in the face?;Yes;No;;;
q375;Do you like going to the movies alone?;Yes;No;;;
q1572;Would you shave something you usually don't because your partner asked you to?;Yes;No;;;
q55349;Have you ever thrown an object in anger during an argument?;Yes.;No.;;;
q326;Should your mate also become your best friend?;Yes;No;;;
q9683;How well do you handle criticism?;Really well;Not that well;Not at all;;
q51615;How often do you tell your platonic friends that you love them?;Almost every time I see them.;Occasionally.;Never.;;
q1311;As a personality, are you more passive or more active?;More passive;More active;Exactly balanced;;
q51;Do you think really abstract art—like just splattered paint—can be truly brilliant?;Yes;No;;;
q19081;Do you live with your parent(s)?;Yes;No;;;
q6710;How much do you procrastinate?;Lots;Some;Not so much;Never;
q148;Would you rather know everything about your mate, or be regularly surprised?;Surprised;All-knowing;;;
q242;Are your birth parents divorced?;Yes;No;They were never married!;;
q54371;You are painting your room and come across a very hard-to-reach spot, one that would take hours to get at and properly paint. This spot also happens to be completely hidden - nobody would ever know if you decided to skip it. What do you do?;Paint it.;Skip it.;;;
q18894;Are you an insomniac?;Yes;No;Occasionally;;
q113;Have you ever traveled around another country alone?;Yes;No;;;
q170;Do you usually vote in presidential (or applicable) elections?;Yes;No;;;
q28671;Which would you rather have more of?;Imagination;Knowledge;;;
q21755;Does your culture/ethnicity/race play a large role in your identity?;It plays a crucial part in who I am;It's interesting, but not really;Who I am is completely independent of my heritage;I'm adopted;
q9401;How much does the sound of a person's voice affect their attractiveness to you?;A lot;A little;Not at all;;
q8218;Would you ever film a sexual encounter without your partner knowing?;Yes;No;I'm Not Sure;;
q19445;Do you feel the urge to correct people who say stupid things?;Yes;No;Sometimes;;
q314;When fooling around with someone, do you sometimes have sexual fantasies about other people?;Yes;No;;;
q19192;Which of the following is MORE important to you:;Finding someone I love and want to be with;Having children;;;
q7278;Can you think of someone that you truly hate, not just severely dislike?;Yes;No;;;
q1471;Do you believe reason is more important than emotions in solving problems?;Yes;No;;;
q322;Do you try to draw attention to your body by wearing seductive clothing?;Yes;No;;;
q15746;Do you consider yourself a perfectionist?;Yes;No;;;
q85879;If you could have one of the following psychic powers, which would you choose:;Telepathy (thought-reading).;Telekinesis (move objects without touching them).;Precognition (predict the future).;Mind Control (control other people's minds).;
q327;How does having sex with someone usually affect your emotional attachment to them?;I become more attached.;I become less attached.;I told you. I'm a virgin.;It stays about the same.;
q38115;Would you object to someone bringing a young child along on a first date?;Yes.;No.;;;
q37151;Before people find out your real age, what do they usually assume?;That I'm younger than I really am.;That I'm older than I really am.;They are usually very close.;I haven't noticed a pattern.;
q25063;Do you freak out when you get a little upset? (i.e scream, yell and cry);Yes;No;Only when no one is around;Only when someone is around;
q22;Do you read erotic fiction?;Yes;No;;;
q25107;Do you mock religion?;Yes, openly;Yes, to myself/with friends;No;;
q16915;Would you prefer someone extremely mellow or extremely hyper?;Hyper;Mellow;;;
q56699;Is it difficult for you to fall asleep next to someone new for the first time?;Yes.;No.;Sometimes.;I'm not sure.;
q19748;What's your opinion of male crossdressers?;I have no problem with them. You go girls!;I respect them, but they still freak me out.;Whatever they do in private is their business.;I do not approve of them.;
q81873;Do you believe that the global flood (Noah's ark) actually happened?;Yes.;No.;;;
q59426;If you were involved in a serious relationship, at which of the following points would you begin looking for new potential partners?;When the relationship was not going well.;When I was certain the relationship was ending.;After the relationship was formally terminated.;All of the time.;
q1439;Do you enjoy being naked?;Yes;No;;;
q85419;Which type of wine would you prefer to drink outside of a meal, such as for leisure?;White (such as Chardonnay, Riesling).;Red (such as Merlot, Cabernet, Shiraz).;Rosé (such as White Zinfindel).;I don't drink wine.;
q33043;Which do you prefer?;Shower;Bath;It depends / Don't make me choose!;;
q15637;Would you ever get on a motorcycle?;Yes;No;;;
q6888;Are you fascinated with all things dark and macabre?;Yes;No;I used to be;;
q74381;Do you consider the act of leaving cigarette butts on the ground to be littering?;Yes.;No.;;;
q38467;How many albums are there in your music collection?;1 to 100 albums.;101 to 300 albums.;301 or more albums.;I have no music albums.;
q16557;When you hear the name Dylan what is the first to come to mind?;Bob Dylan;Dylan Thomas;90210;Something or someone else / Nothing;
q15401;Is there anything that science will never be able to explain?;Yes;No;;;
q25908;If money were not an issue, would you have major cosmetic surgery on any part of your face or body?;Yes;No;;;
